Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.4-0.5-0.4,Reduce Lighting,"(0.3, 0.5, 0.4)",0.1,25.0,100.0,High
0.4-0.5-0.5,Check Equipment,"(0.3, 0.5, 0.5)",0.1,25.0,100.0,High
0.4-0.5-0.6,Check Equipment,"(0.3, 0.5, 0.6)",0.1,25.0,50.0,Medium
0.4-0.5-0.7,Do Nothing,"(0.4, 0.5, 0.7)",0.0,0.0,0.0,Low
0.4-0.6-0.3,Reduce Lighting,"(0.3, 0.6, 0.3)",0.1,25.0,100.0,High
0.4-0.6-0.4,Reduce Lighting,"(0.3, 0.6, 0.4)",0.1,25.0,100.0,High
0.4-0.6-0.5,Check Equipment,"(0.3, 0.6, 0.5)",0.1,25.0,100.0,High
0.4-0.6-0.6,Reduce Lighting,"(0.3, 0.6, 0.6)",0.1,25.0,100.0,High
0.4-0.6-0.7,Reduce Lighting,"(0.3, 0.6, 0.7)",0.1,25.0,100.0,High
0.4-0.7-0.4,Do Nothing,"(0.4, 0.7, 0.4)",0.0,0.0,0.0,Low
0.4-0.7-0.5,Reduce Lighting,"(0.3, 0.7, 0.5)",0.1,25.0,100.0,High
0.4-0.8-0.7,Do Nothing,"(0.4, 0.8, 0.7)",0.0,0.0,0.0,Low
0.4-0.9-0.4,Do Nothing,"(0.4, 0.9, 0.4)",0.0,0.0,0.0,Low
0.5-0.0-0.3,Reduce HVAC,"(0.3, 0.0, 0.4)",0.2,40.0,100.0,High
0.5-0.0-0.4,Check Equipment,"(0.4, 0.0, 0.4)",0.1,20.0,100.0,High
0.5-0.0-0.5,Check Equipment,"(0.4, 0.0, 0.5)",0.1,20.0,100.0,High
0.5-0.0-0.6,Check Equipment,"(0.4, 0.0, 0.6)",0.1,20.0,100.0,High
0.5-0.0-0.7,Check Equipment,"(0.4, 0.0, 0.7)",0.1,20.0,100.0,High
0.5-0.0-0.8,Reduce Lighting,"(0.3, 0.0, 0.8)",0.2,40.0,100.0,High
0.5-0.0-0.9,Reduce Lighting,"(0.3, 0.0, 0.9)",0.2,40.0,100.0,High
0.5-0.0-1.0,Do Nothing,"(0.5, 0.0, 1.0)",0.0,0.0,0.0,Low
0.5-0.1-0.3,Do Nothing,"(0.5, 0.1, 0.3)",0.0,0.0,0.0,Low
0.5-0.1-0.4,Do Nothing,"(0.5, 0.1, 0.4)",0.0,0.0,0.0,Low
0.5-0.1-0.5,Reduce Lighting,"(0.3, 0.1, 0.5)",0.2,40.0,100.0,High
0.5-0.1-0.6,Reduce HVAC,"(0.3, 0.1, 0.7)",0.19,40.0,100.0,High
0.5-0.1-0.7,Reduce HVAC,"(0.3, 0.1, 0.8)",0.19,40.0,100.0,High
0.5-0.1-0.8,Check Equipment,"(0.4, 0.1, 0.8)",0.1,20.0,100.0,High
0.5-0.2-0.3,Do Nothing,"(0.5, 0.2, 0.3)",0.0,0.0,0.0,Low
0.5-0.2-0.4,Do Nothing,"(0.5, 0.2, 0.4)",0.0,0.0,0.0,Low
0.5-0.2-0.5,Do Nothing,"(0.5, 0.2, 0.5)",0.0,0.0,0.0,Low
0.5-0.2-0.6,Do Nothing,"(0.5, 0.2, 0.6)",0.0,0.0,0.0,Low
0.5-0.2-0.7,Reduce Lighting,"(0.3, 0.2, 0.7)",0.2,40.0,100.0,High
0.5-0.3-0.3,Reduce HVAC,"(0.3, 0.3, 0.4)",0.17,40.0,100.0,High
0.5-0.3-0.4,Do Nothing,"(0.5, 0.3, 0.4)",0.0,0.0,0.0,Low
0.5-0.3-0.5,Check Equipment,"(0.4, 0.3, 0.5)",0.1,20.0,100.0,High
0.5-0.3-0.6,Do Nothing,"(0.5, 0.3, 0.6)",0.0,0.0,0.0,Low
0.5-0.3-0.7,Reduce Lighting,"(0.3, 0.3, 0.7)",0.2,40.0,97.63,High
0.5-0.4-0.3,Reduce Lighting,"(0.4, 0.4, 0.3)",0.1,20.0,100.0,High
0.5-0.4-0.4,Reduce Lighting,"(0.4, 0.4, 0.4)",0.1,20.0,100.0,High
0.5-0.4-0.5,Reduce Lighting,"(0.4, 0.4, 0.5)",0.1,20.0,100.0,High
0.5-0.4-0.6,Check Equipment,"(0.4, 0.4, 0.6)",0.1,20.0,100.0,High
0.5-0.4-0.7,Reduce Lighting,"(0.4, 0.4, 0.7)",0.1,20.0,100.0,High
0.5-0.5-0.3,Do Nothing,"(0.5, 0.5, 0.3)",0.0,0.0,0.0,Low
0.5-0.5-0.4,Check Equipment,"(0.4, 0.5, 0.4)",0.1,20.0,100.0,High
0.5-0.5-0.5,Reduce HVAC,"(0.3, 0.5, 0.6)",0.15,40.0,100.0,High
0.5-0.5-0.6,Reduce Lighting,"(0.4, 0.5, 0.6)",0.1,20.0,100.0,High
0.5-0.5-0.7,Do Nothing,"(0.5, 0.5, 0.7)",0.0,0.0,0.0,Low
0.5-0.6-0.3,Check Equipment,"(0.4, 0.6, 0.3)",0.1,20.0,100.0,High
0.5-0.6-0.4,Reduce Lighting,"(0.4, 0.6, 0.4)",0.1,20.0,76.13,High
0.5-0.6-0.5,Reduce HVAC,"(0.3, 0.6, 0.6)",0.14,40.0,69.43,Medium
0.5-0.6-0.6,Reduce Lighting,"(0.4, 0.6, 0.6)",0.1,20.0,100.0,High
0.5-0.7-0.3,Do Nothing,"(0.5, 0.7, 0.3)",0.0,0.0,0.0,Low
0.5-0.7-0.4,Do Nothing,"(0.5, 0.7, 0.4)",0.0,0.0,0.0,Low
0.6-0.0-0.3,Do Nothing,"(0.6, 0.0, 0.3)",0.0,0.0,0.0,Low
0.6-0.0-0.4,Reduce Lighting,"(0.4, 0.0, 0.4)",0.2,33.33,100.0,High
0.6-0.0-0.5,Reduce Lighting,"(0.4, 0.0, 0.5)",0.2,33.33,100.0,High
0.6-0.0-0.6,Check Equipment,"(0.5, 0.0, 0.6)",0.1,16.67,100.0,High
0.6-0.0-0.7,Reduce HVAC,"(0.4, 0.0, 0.8)",0.2,33.33,100.0,High
0.6-0.0-0.8,Check Equipment,"(0.5, 0.0, 0.8)",0.1,16.67,100.0,High
0.6-0.0-0.9,Do Nothing,"(0.6, 0.0, 0.9)",0.0,0.0,0.0,Low
0.6-0.0-1.0,Do Nothing,"(0.6, 0.0, 1.0)",0.0,0.0,0.0,Low
0.6-0.1-0.3,Do Nothing,"(0.6, 0.1, 0.3)",0.0,0.0,0.0,Low
0.6-0.1-0.4,Reduce HVAC,"(0.4, 0.1, 0.5)",0.19,33.33,100.0,High
0.6-0.1-0.5,Reduce Lighting,"(0.4, 0.1, 0.5)",0.2,33.33,100.0,High
0.6-0.1-0.6,Reduce HVAC,"(0.4, 0.1, 0.7)",0.19,33.33,100.0,High
0.6-0.1-0.7,Reduce Lighting,"(0.4, 0.1, 0.7)",0.2,33.33,100.0,High
0.6-0.1-0.8,Reduce Lighting,"(0.4, 0.1, 0.8)",0.2,33.33,100.0,High
0.6-0.2-0.3,Do Nothing,"(0.6, 0.2, 0.3)",0.0,0.0,0.0,Low
0.6-0.2-0.4,Do Nothing,"(0.6, 0.2, 0.4)",0.0,0.0,0.0,Low
0.6-0.2-0.5,Reduce HVAC,"(0.4, 0.2, 0.6)",0.18,33.33,100.0,High
0.6-0.2-0.6,Do Nothing,"(0.6, 0.2, 0.6)",0.0,0.0,0.0,Low
0.6-0.2-0.7,Reduce HVAC,"(0.4, 0.2, 0.8)",0.18,33.33,100.0,High
0.6-0.3-0.3,Do Nothing,"(0.6, 0.3, 0.3)",0.0,0.0,0.0,Low
0.6-0.3-0.4,Do Nothing,"(0.6, 0.3, 0.4)",0.0,0.0,0.0,Low
0.6-0.3-0.5,Check Equipment,"(0.5, 0.3, 0.5)",0.1,16.67,100.0,High
0.6-0.3-0.6,Do Nothing,"(0.6, 0.3, 0.6)",0.0,0.0,0.0,Low
0.6-0.3-0.7,Do Nothing,"(0.6, 0.3, 0.7)",0.0,0.0,0.0,Low
0.6-0.4-0.3,Do Nothing,"(0.6, 0.4, 0.3)",0.0,0.0,0.0,Low
0.6-0.4-0.4,Check Equipment,"(0.5, 0.4, 0.4)",0.1,16.67,100.0,High
0.6-0.4-0.5,Check Equipment,"(0.5, 0.4, 0.5)",0.1,16.67,100.0,High
0.6-0.4-0.6,Do Nothing,"(0.6, 0.4, 0.6)",0.0,0.0,0.0,Low
0.6-0.4-0.7,Reduce Lighting,"(0.5, 0.4, 0.7)",0.1,16.67,100.0,High
0.6-0.5-0.3,Reduce HVAC,"(0.4, 0.5, 0.3)",0.2,33.33,100.0,High
0.6-0.5-0.4,Check Equipment,"(0.5, 0.5, 0.4)",0.1,16.67,100.0,High
0.6-0.5-0.5,Check Equipment,"(0.5, 0.5, 0.5)",0.1,16.67,100.0,High
0.6-0.5-0.6,Reduce Lighting,"(0.5, 0.5, 0.6)",0.1,16.67,100.0,High
0.6-0.6-0.3,Do Nothing,"(0.6, 0.6, 0.3)",0.0,0.0,0.0,Low
0.6-0.6-0.4,Check Equipment,"(0.5, 0.6, 0.4)",0.1,16.67,100.0,High
0.6-0.6-0.5,Check Equipment,"(0.5, 0.6, 0.5)",0.1,16.67,100.0,High
